Ciudades,Latitude,Longitude,City,Latitude1,Longitude1
"Buenos Aires, Argentina",-34.6036844,-58.3815591,"Bogotá, Colombia",4.7109886,-74.072092
"La Paz, Bolivia",-16.489689,-68.1192936,"Bogotá, Colombia",4.7109886,-74.072092
"Brasilia, Brasil",-15.7975154,-47.8918874,"Bogotá, Colombia",4.7109886,-74.072092
"Miami, FL, Estados Unidos",25.7616798,-80.1917902,"Bogotá, Colombia",4.7109886,-74.072092
"Ciudad de México, Mexico",19.4326077,-99.133208,"Bogotá, Colombia",4.7109886,-74.072092
"Ciudad de Panamá, Panamá",8.9823792,-79.5198696,"Bogotá, Colombia",4.7109886,-74.072092
"Londres, Reino Unido",51.5072178,-0.1275862,"Bogotá, Colombia",4.7109886,-74.072092
"San Juan de Colón, Venezuela",8.0388983,-72.2541441,"Bogotá, Colombia",4.7109886,-74.072092
"Cádiz, España",36.5210142,-6.2804565,"Bogotá, Colombia",4.7109886,-74.072092
"Seúl, Corea del Sur",37.566535,126.9779692,"Bogotá, Colombia",4.7109886,-74.072092
"Santiago, Chile",-33.4488897,-70.6692655,"Bogotá, Colombia",4.7109886,-74.072092
"Quito, Ecuador",-0.1806532,-78.4678382,"Bogotá, Colombia",4.7109886,-74.072092
"Atenas, Grecia",37.9838096,23.7275388,"Bogotá, Colombia",4.7109886,-74.072092
"León, México",21.1250077,-101.6859605,"Bogotá, Colombia",4.7109886,-74.072092
"Lima, Perú",-12.0463731,-77.042754,"Bogotá, Colombia",4.7109886,-74.072092
"Estambul, Turquía",41.0082376,28.9783589,"Bogotá, Colombia",4.7109886,-74.072092
"Shanghái, China",31.230416,121.473701,"Bogotá, Colombia",4.7109886,-74.072092
"Moscú, Rusia",55.755826,37.6173,"Bogotá, Colombia",4.7109886,-74.072092
"Madrid, España",40.4167754,-3.7037902,"Bogotá, Colombia",4.7109886,-74.072092
"Washington, D. C., Estados Unidos",38.9071923,-77.0368707,"Bogotá, Colombia",4.7109886,-74.072092
"Chicago, Estados Unidos",41.8781136,-87.6297982,"Bogotá, Colombia",4.7109886,-74.072092
"Puerto Principe, Haití",18.594395,-72.3074326,"Bogotá, Colombia",4.7109886,-74.072092
"Ramala, Palestina",31.9037641,35.2034184,"Bogotá, Colombia",4.7109886,-74.072092
"Lisboa, Portugal",38.7222524,-9.1393366,"Bogotá, Colombia",4.7109886,-74.072092
"Caracas, Venezuela",10.4805937,-66.9036063,"Bogotá, Colombia",4.7109886,-74.072092
"Ottawa, Canadá",45.4215296,-75.6971931,"Bogotá, Colombia",4.7109886,-74.072092